timestamp,spot_open,spot_high,spot_low,spot_close,spot_volume,ce_open,ce_high,ce_low,ce_close,ce_volume,ce_iv,ce_oi,ce_strike,pe_open,pe_high,pe_low,pe_close,pe_volume,pe_iv,pe_oi,pe_strike
2026-03-02 09:15:00 +0530,21079.85,21468.8,21075.45,21448.55,39652933.0,1053.85,1053.85,713.85,716.1,35800,21.978085,940,80200.0,483.1,717.8,448.9,717.8,96400,23.866205,41720,80200.0
2026-03-02 09:16:00 +0530,21448.85,21457.25,21431.2,21456.05,29917904.0,779.2,825.5,746.1,769.1,56320,23.383526,240,80100.0,682.65,688.85,613.05,643.75,188140,21.823632,79900,80100.0
2026-03-02 09:17:00 +0530,21455.25,21475.3,21452.8,21471.65,17415297.0,703.75,789.2,690.0,743.15,97320,21.955623,18720,80200.0,671.65,677.5,579.85,607.25,142940,21.142836,41720,80200.0
2026-03-02 09:18:00 +0530,21474.3,21493.15,21474.3,21489.6,14334512.0,746.15,786.95,675.55,675.55,63140,21.01311,88040,80200.0,601.5,643.55,582.45,625.05,144040,20.59689,215780,80200.0
2026-03-02 09:19:00 +0530,21492.35,21528.7,21492.35,21528.5,19287668.0,644.7,698.6,634.05,695.95,58360,21.723712,72060,80300.0,659.75,679.75,621.5,621.5,78880,20.381413,179300,80300.0
2026-03-02 09:20:00 +0530,21529.65,21596.4,21529.65,21591.25,15408259.0,630.5,717.9,627.75,695.65,101580,20.836053,59960,80400.0,658.25,663.5,584.05,608.3,91660,20.729554,97120,80400.0
2026-03-02 09:21:00 +0530,21593.35,21620.65,21579.6,21579.6,12216667.0,713.25,780.75,693.85,696.15,80760,21.04028,59960,80400.0,596.9,629.55,581.0,617.35,72440,20.851181,97120,80400.0
2026-03-02 09:22:00 +0530,21582.35,21590.15,21563.1,21578.25,11006385.0,697.8,726.65,664.05,709.5,52400,21.444444,59960,80400.0,614.6,639.0,594.3,615.0,99220,20.800677,97120,80400.0
2026-03-02 09:23:00 +0530,21578.0,21579.2,21545.95,21548.55,11399087.0,766.6,775.45,678.0,690.6,46620,21.200317,90780,80300.0,577.15,640.0,577.15,623.55,98700,20.795506,228540,80300.0
2026-03-02 09:24:00 +0530,21549.45,21586.45,21549.45,21586.45,9573743.0,695.25,739.0,690.6,712.3,34580,21.306981,102900,80300.0,615.05,626.6,590.9,598.65,70540,20.541768,275900,80300.0
2026-03-02 09:25:00 +0530,21587.5,21587.95,21549.05,21552.25,12287970.0,765.6,775.0,723.65,736.65,19020,21.744387,93380,80200.0,562.95,606.6,562.95,594.85,75340,20.779702,296620,80200.0
2026-03-02 09:26:00 +0530,21551.3,21559.5,21539.95,21553.7,8656015.0,669.2,694.9,648.3,684.9,32360,20.733378,102900,80300.0,639.6,645.55,587.7,587.7,74460,19.92314,275900,80300.0
2026-03-02 09:27:00 +0530,21554.8,21577.2,21554.75,21574.85,6942074.0,633.0,681.15,616.7,669.95,53480,20.502533,124240,80400.0,631.0,640.75,594.85,605.95,57960,20.233722,221800,80400.0
2026-03-02 09:28:00 +0530,21574.35,21594.35,21572.7,21594.35,6751557.0,671.9,712.55,668.85,712.55,49220,21.240024,124240,80400.0,606.05,607.45,581.3,582.1,46120,20.046097,221800,80400.0
2026-03-02 09:29:00 +0530,21594.35,21595.55,21563.75,21570.1,7201315.0,774.9,777.0,683.65,693.4,27840,20.366219,118280,80300.0,550.0,600.55,543.9,585.3,62600,20.432426,328260,80300.0
2026-03-02 09:30:00 +0530,21569.8,21608.5,21567.85,21599.05,11092171.0,631.2,706.05,629.4,705.95,42780,20.514762,184240,80400.0,622.55,628.25,578.05,579.9,56820,20.437715,241680,80400.0
2026-03-02 09:31:00 +0530,21599.1,21620.75,21598.7,21619.25,7613305.0,646.0,671.5,635.75,649.65,68360,20.050352,325440,80500.0,618.2,631.45,615.0,623.2,37000,20.567541,443840,80500.0
2026-03-02 09:32:00 +0530,21618.85,21624.15,21606.0,21617.35,7524690.0,649.7,661.2,621.6,654.25,55980,20.097944,343720,80500.0,625.35,643.05,592.7,594.45,79160,19.746588,465200,80500.0
2026-03-02 09:33:00 +0530,21618.55,21653.85,21617.6,21650.7,9022879.0,596.4,670.05,594.35,647.75,64440,19.93412,111900,80600.0,639.9,640.85,584.8,592.1,34480,19.586688,129720,80600.0
2026-03-02 09:34:00 +0530,21650.55,21658.8,21646.3,21650.15,7516343.0,651.35,686.2,647.75,681.85,59080,20.556139,111900,80600.0,587.5,605.8,577.75,577.8,33260,19.566391,129720,80600.0
2026-03-02 09:35:00 +0530,21649.7,21652.35,21623.5,21636.7,5039911.0,691.8,693.45,647.55,679.6,64340,20.506446,111900,80600.0,577.8,606.35,577.8,594.85,40500,20.094288,129720,80600.0
2026-03-02 09:36:00 +0530,21635.0,21639.8,21628.15,21629.55,4542666.0,730.25,752.0,688.6,697.05,65980,20.486684,356120,80500.0,562.0,586.15,549.7,583.3,73960,20.296565,515460,80500.0
2026-03-02 09:37:00 +0530,21628.75,21642.6,21628.45,21639.45,5120781.0,694.2,715.15,646.35,671.45,73300,20.940809,356120,80500.0,578.15,627.15,576.9,605.3,113400,19.835407,515460,80500.0
2026-03-02 09:38:00 +0530,21640.5,21668.6,21640.5,21651.85,5147619.0,670.7,715.1,651.2,692.75,55380,21.151656,356120,80500.0,611.95,622.9,578.6,590.4,84880,19.804919,515460,80500.0
2026-03-02 09:39:00 +0530,21652.5,21652.7,21643.25,21645.5,4206913.0,697.45,716.05,686.4,697.05,46400,20.696777,356120,80500.0,588.6,600.0,575.3,586.25,50940,20.215653,515460,80500.0
2026-03-02 09:40:00 +0530,21646.05,21665.3,21637.9,21637.9,3823072.0,702.9,750.1,691.6,691.6,77180,20.845603,383660,80500.0,585.15,586.25,542.85,586.0,73580,19.919637,542980,80500.0
2026-03-02 09:41:00 +0530,21637.0,21665.0,21635.3,21654.75,5238538.0,693.3,740.0,672.05,710.9,51500,20.730088,383660,80500.0,585.5,606.65,555.05,572.6,72500,20.148817,542980,80500.0
2026-03-02 09:42:00 +0530,21655.5,21655.5,21641.0,21650.2,3002609.0,647.25,673.05,643.15,665.25,24800,20.431585,145120,80600.0,613.85,625.25,601.3,606.2,17760,20.128919,160560,80600.0
2026-03-02 09:43:00 +0530,21651.05,21669.7,21651.05,21666.0,5354991.0,662.4,679.85,650.85,655.0,24060,20.247567,153700,80600.0,606.2,620.5,602.25,618.85,28840,20.40201,167420,80600.0
2026-03-02 09:44:00 +0530,21666.45,21680.5,21665.2,21673.2,5935301.0,656.05,669.5,648.75,653.8,21380,20.348681,153700,80600.0,616.4,622.75,608.0,620.0,15200,20.310398,167420,80600.0
2026-03-02 09:45:00 +0530,21672.75,21677.65,21665.65,21665.65,5403485.0,657.45,675.0,648.0,651.15,28900,20.022212,160420,80600.0,615.05,626.95,601.7,617.75,25800,20.471179,176020,80600.0
2026-03-02 09:46:00 +0530,21665.8,21677.45,21660.6,21674.8,4227024.0,650.55,679.0,640.05,672.0,24300,20.127383,160420,80600.0,617.95,631.9,597.85,600.05,31760,20.427238,176020,80600.0
2026-03-02 09:47:00 +0530,21674.75,21690.6,21674.05,21689.9,4497390.0,673.45,685.1,662.15,681.3,26360,20.498101,160420,80600.0,596.2,610.95,585.0,595.0,25560,20.20291,176020,80600.0
