Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2026-03-20,bullish,2026-03-20 10:47:00 +0530,75182.9,75184.01,74535.26,648.75,0.0,false,false,inside,4,Friday,103.49000000000524,797.8600000000006,true,false,,,,,4.58,-6.34,2026-03-20 13:41:00 +0530,174,10.44,0.044,40,75,0,,0,-1.42,-0.3114,0.0,55.8,normal,mean_reverting,opening_drive,none
2026-03-23,bearish,2026-03-23 09:57:00 +0530,72966.2,73732.58,72977.34,755.2400000000052,0.0,false,false,inside,4,Monday,407.75999999999476,233.82000000000698,true,false,,,,,4.13,-8.35,2026-03-23 14:26:00 +0530,269,10.69,0.01,40,75,0,,0,-5.24,-1.2669,0.0,87.05,normal,mean_reverting,open_auction,none
2026-03-24,bearish,2026-03-24 09:43:00 +0530,73427.5,74212.47,73474.5,737.9700000000012,0.0,false,false,inside,4,Tuesday,343.0399999999936,1061.8899999999994,true,false,,,,,8.68,-8.75,2026-03-24 12:29:00 +0530,166,16.04,0.025,38,75,0,,0,-8.11,-0.9342,0.0,97.0,normal,trending,open_auction,none
2026-03-30,bullish,2026-03-30 09:33:00 +0530,72875.0,72848.87,72391.98,456.8899999999994,0.0,false,false,inside,4,Monday,290.320000000007,1100.8699999999953,true,false,,,,,2.54,-19.44,2026-03-30 10:52:00 +0530,79,21.44,0.009,35,100,0,,0,-2.87,-1.1294,0.0,51.85,normal,trending,open_test_drive,none
2026-03-30,bearish,2026-03-30 13:27:00 +0530,72361.19,72848.87,72391.98,456.8899999999994,0.0,false,false,inside,4,Monday,587.0599999999977,109.06999999999243,true,false,,,,,0.6,-1.26,2026-03-30 13:40:00 +0530,13,1.85,0.001,44,40,0,,0,-0.43,-0.7158,0.0,8.15,normal,trending,open_test_drive,none
2026-04-01,bullish,2026-04-01 09:53:00 +0530,73907.74,73900.9,73546.51,354.3899999999994,0.0,false,false,inside,4,Wednesday,56.83999999999651,936.0600000000122,true,false,,,,,5.33,-19.64,2026-04-01 12:08:00 +0530,135,21.33,0.094,36,100,0,,0,-6.46,-1.2124,0.0,64.05,normal,mean_reverting,open_test_drive,none
2026-04-01,bearish,2026-04-01 12:02:00 +0530,73545.73,73900.9,73546.51,354.3899999999994,0.0,false,false,inside,4,Wednesday,574.0500000000029,332.9600000000064,true,false,,,,,12.61,-4.8,2026-04-01 13:29:00 +0530,87,5.86,0.022,43,65,6,,0,3.15,0.2498,0.2498,38.3,normal,mean_reverting,open_test_drive,none
2026-04-02,bearish,2026-04-02 10:07:00 +0530,71590.32,72262.05,71608.48,653.570000000007,0.0,false,false,inside,4,Thursday,44.51000000000931,1978.2199999999866,false,true,,,,,1.89,-37.13,2026-04-02 10:26:00 +0530,19,38.3,0.042,7,100,0,,0,-4.73,-2.5,0.0,18.9,normal,mean_reverting,open_auction,vwap_reclaimed
2026-04-06,bearish,2026-04-06 09:44:00 +0530,72896.81,73588.75,72914.16,674.5899999999965,0.0,false,false,inside,4,Monday,168.14999999999418,1310.6500000000087,true,false,,,,,7.7,-2.84,2026-04-06 12:40:00 +0530,176,7.02,0.046,42,75,2,,0,3.93,0.5103,0.5103,33.3,normal,trending,opening_drive,none
2026-04-07,bullish,2026-04-07 09:31:00 +0530,73850.54,73833.74,73282.41,551.3300000000017,0.0,false,false,inside,4,Tuesday,835.7800000000134,330.1100000000006,true,false,,,,,2.9,0.0,2026-04-07 09:44:00 +0530,13,2.82,0.003,45,20,2,,0,2.11,0.7293,0.7293,6.55,normal,trending,open_test_drive,none
