Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-03-11 13:10:00,2024-03-11 13:11:00,575.0,566.38,43,-395.41,-1.6,LOSS
ATM_CALL,2024-03-11 13:30:00,2024-03-11 13:33:00,552.95,544.66,45,-397.94,-1.6,LOSS
ATM_CALL,2024-03-11 15:00:00,2024-03-11 15:01:00,570.0,561.45,43,-391.98,-1.6,LOSS
ATM_CALL,2024-03-12 13:45:00,2024-03-12 13:50:00,497.0,489.55,50,-397.41,-1.6,LOSS
ATM_CALL,2024-03-12 13:55:00,2024-03-12 14:05:00,481.75,474.52,51,-392.92,-1.6,LOSS
ATM_CALL,2024-03-12 14:10:00,2024-03-12 14:11:00,490.0,482.65,50,-391.82,-1.6,LOSS
ATM_CALL,2024-03-12 14:15:00,2024-03-12 14:20:00,454.75,447.93,54,-392.72,-1.6,LOSS
ATM_CALL,2024-03-12 14:25:00,2024-03-12 14:26:00,499.0,491.52,49,-391.03,-1.6,LOSS
ATM_CALL,2024-03-12 14:30:00,2024-03-12 14:31:00,508.45,500.82,49,-398.44,-1.6,LOSS
ATM_CALL,2024-03-12 15:05:00,2024-03-12 15:06:00,492.1,484.72,50,-393.5,-1.6,LOSS
ATM_CALL,2024-03-12 15:10:00,2024-03-12 15:11:00,486.5,479.2,51,-396.8,-1.6,LOSS
ATM_CALL,2024-03-12 15:15:00,2024-03-13 09:15:00,478.85,471.67,51,-390.56,-1.6,LOSS
ATM_CALL,2024-03-13 09:20:00,2024-03-13 09:22:00,417.55,411.29,59,-393.98,-1.6,LOSS
ATM_CALL,2024-03-13 09:25:00,2024-03-13 09:30:00,410.8,432.0,60,1246.72,5.06,WIN
ATM_CALL,2024-03-14 09:35:00,2024-03-14 09:38:00,405.55,399.47,61,-395.63,-1.6,LOSS
ATM_CALL,2024-03-14 09:40:00,2024-03-14 09:43:00,408.1,401.98,60,-391.59,-1.6,LOSS
ATM_CALL,2024-03-14 09:45:00,2024-03-14 09:47:00,396.3,390.36,62,-392.95,-1.6,LOSS
ATM_CALL,2024-03-14 09:50:00,2024-03-14 09:51:00,396.45,390.5,62,-393.09,-1.6,LOSS
ATM_CALL,2024-03-14 09:55:00,2024-03-14 09:56:00,382.9,377.16,64,-391.91,-1.6,LOSS
ATM_CALL,2024-03-14 10:00:00,2024-03-14 10:07:00,377.45,371.79,65,-392.36,-1.6,LOSS
ATM_CALL,2024-03-14 10:10:00,2024-03-14 10:11:00,376.0,370.36,66,-396.87,-1.6,LOSS
ATM_CALL,2024-03-14 10:15:00,2024-03-14 10:16:00,357.0,351.65,69,-393.94,-1.6,LOSS
ATM_CALL,2024-03-14 10:20:00,2024-03-14 10:29:00,340.1,335.0,72,-391.61,-1.6,LOSS
ATM_CALL,2024-03-14 10:30:00,2024-03-14 10:31:00,356.05,350.71,69,-392.89,-1.6,LOSS
ATM_CALL,2024-03-14 10:35:00,2024-03-14 10:36:00,342.6,337.46,72,-394.49,-1.6,LOSS
ATM_CALL,2024-03-14 10:40:00,2024-03-14 10:41:00,354.2,348.89,70,-396.52,-1.6,LOSS
ATM_CALL,2024-03-14 10:45:00,2024-03-14 10:47:00,372.95,367.36,66,-393.65,-1.6,LOSS
ATM_CALL,2024-03-14 10:50:00,2024-03-14 10:52:00,326.2,391.44,75,4866.09,19.89,WIN
ATM_CALL,2024-03-14 10:55:00,2024-03-14 10:56:00,337.8,332.73,73,-394.37,-1.6,LOSS
ATM_CALL,2024-03-14 11:00:00,2024-03-14 11:08:00,322.6,317.76,77,-397.26,-1.6,LOSS
ATM_CALL,2024-03-14 11:10:00,2024-03-14 11:11:00,386.3,380.51,64,-395.39,-1.6,LOSS
ATM_CALL,2024-03-14 11:15:00,2024-03-14 11:16:00,391.05,385.18,63,-393.99,-1.6,LOSS
ATM_CALL,2024-03-14 11:20:00,2024-03-14 11:24:00,373.0,367.41,66,-393.7,-1.6,LOSS
ATM_CALL,2024-03-14 11:25:00,2024-03-14 11:26:00,390.7,384.84,63,-393.64,-1.6,LOSS
ATM_CALL,2024-03-14 11:30:00,2024-03-14 11:32:00,326.6,321.7,76,-396.96,-1.6,LOSS
ATM_CALL,2024-03-14 11:35:00,2024-03-14 11:36:00,380.85,375.14,65,-395.9,-1.6,LOSS
ATM_CALL,2024-03-14 11:40:00,2024-03-14 11:41:00,338.4,333.32,73,-395.07,-1.6,LOSS
ATM_CALL,2024-03-14 11:45:00,2024-03-14 11:46:00,396.25,390.31,62,-392.9,-1.6,LOSS
ATM_CALL,2024-03-14 11:50:00,2024-03-14 11:51:00,336.1,403.32,73,4880.07,19.89,WIN
ATM_CALL,2024-03-14 11:55:00,2024-03-14 11:58:00,381.25,375.53,65,-396.31,-1.6,LOSS
ATM_CALL,2024-03-14 12:00:00,2024-03-14 12:01:00,395.9,389.96,62,-392.55,-1.6,LOSS
ATM_CALL,2024-03-14 12:05:00,2024-03-14 12:06:00,399.05,393.06,62,-395.67,-1.6,LOSS
ATM_CALL,2024-03-14 12:10:00,2024-03-14 12:14:00,338.9,333.82,73,-395.65,-1.6,LOSS
ATM_CALL,2024-03-14 12:15:00,2024-03-14 12:16:00,339.05,333.96,73,-395.82,-1.6,LOSS
ATM_CALL,2024-03-14 12:20:00,2024-03-14 12:21:00,344.8,339.63,72,-397.02,-1.6,LOSS
ATM_CALL,2024-03-14 12:25:00,2024-03-14 12:26:00,382.5,376.76,64,-391.5,-1.6,LOSS
ATM_CALL,2024-03-14 12:30:00,2024-03-14 12:38:00,328.65,323.72,75,-394.2,-1.6,LOSS
ATM_CALL,2024-03-14 12:40:00,2024-03-14 12:44:00,328.3,323.38,75,-393.78,-1.6,LOSS
ATM_CALL,2024-03-14 12:45:00,2024-03-14 12:48:00,323.05,318.2,76,-392.64,-1.6,LOSS
ATM_CALL,2024-03-14 12:50:00,2024-03-14 12:51:00,369.9,364.35,67,-396.35,-1.6,LOSS
ATM_CALL,2024-03-14 13:15:00,2024-03-14 13:17:00,353.0,347.71,70,-395.17,-1.6,LOSS
ATM_CALL,2024-03-14 13:20:00,2024-03-14 13:21:00,346.15,340.96,71,-393.04,-1.6,LOSS
ATM_CALL,2024-03-14 13:25:00,2024-03-14 13:26:00,343.0,337.86,72,-394.95,-1.6,LOSS
ATM_CALL,2024-03-14 13:30:00,2024-03-14 13:31:00,355.0,349.68,69,-391.74,-1.6,LOSS
ATM_CALL,2024-03-14 13:35:00,2024-03-14 13:36:00,317.3,380.76,78,4922.66,19.89,WIN
ATM_CALL,2024-03-14 13:40:00,2024-03-14 13:41:00,329.0,324.07,75,-394.61,-1.6,LOSS
ATM_CALL,2024-03-14 13:45:00,2024-03-14 13:46:00,300.1,360.12,82,4894.57,19.89,WIN
ATM_CALL,2024-03-14 13:50:00,2024-03-14 13:51:00,320.2,315.4,78,-399.42,-1.6,LOSS
ATM_CALL,2024-03-14 13:55:00,2024-03-14 13:56:00,352.1,346.82,70,-394.17,-1.6,LOSS
ATM_CALL,2024-03-14 14:40:00,2024-03-14 14:41:00,290.0,285.65,86,-398.85,-1.6,LOSS
ATM_CALL,2024-03-14 14:45:00,2024-03-14 14:46:00,316.3,311.56,78,-394.56,-1.6,LOSS
ATM_CALL,2024-03-14 14:55:00,2024-03-14 14:56:00,320.65,315.84,77,-394.86,-1.6,LOSS
ATM_CALL,2024-03-14 15:00:00,2024-03-14 15:01:00,270.7,266.64,92,-398.28,-1.6,LOSS
ATM_CALL,2024-03-14 15:05:00,2024-03-14 15:06:00,278.35,274.17,89,-396.18,-1.6,LOSS
ATM_CALL,2024-03-14 15:10:00,2024-03-14 15:11:00,277.9,273.73,89,-395.54,-1.6,LOSS
ATM_CALL,2024-03-14 15:15:00,2024-03-14 15:22:00,271.15,267.08,91,-394.61,-1.6,LOSS
ATM_CALL,2024-03-14 15:25:00,2024-03-14 15:26:00,266.6,262.6,93,-396.51,-1.6,LOSS
