Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2026-02-06 12:42:00,2026-02-06 12:43:00,109.85,108.2,227,-398.79,-1.6,LOSS
ATM_CALL,2026-02-06 12:44:00,2026-02-06 12:45:00,108.8,107.17,229,-398.46,-1.6,LOSS
ATM_CALL,2026-02-10 13:42:00,2026-02-10 13:43:00,39.9,39.3,626,-399.45,-1.6,LOSS
ATM_CALL,2026-02-10 14:09:00,2026-02-10 14:10:00,25.7,25.31,971,-399.09,-1.6,LOSS
ATM_CALL,2026-02-11 10:12:00,2026-02-11 10:13:00,164.35,161.88,151,-396.88,-1.6,LOSS
ATM_CALL,2026-02-11 10:14:00,2026-02-11 10:16:00,163.35,160.9,152,-397.08,-1.6,LOSS
ATM_CALL,2026-02-11 12:30:00,2026-02-11 12:32:00,129.45,127.51,192,-397.48,-1.6,LOSS
ATM_CALL,2026-02-11 12:34:00,2026-02-11 12:35:00,126.15,124.26,197,-397.44,-1.6,LOSS
ATM_CALL,2026-02-12 09:33:00,2026-02-12 10:13:00,123.7,121.84,201,-397.63,-1.6,LOSS
ATM_CALL,2026-02-12 11:00:00,2026-02-12 11:07:00,124.1,122.24,200,-396.93,-1.6,LOSS
ATM_CALL,2026-02-12 14:57:00,2026-02-12 15:03:00,116.8,115.05,213,-397.87,-1.6,LOSS
ATM_CALL,2026-02-13 09:32:00,2026-02-13 09:33:00,131.25,129.28,189,-396.71,-1.6,LOSS
ATM_CALL,2026-02-13 09:34:00,2026-02-13 09:35:00,129.7,127.75,191,-396.18,-1.6,LOSS
ATM_CALL,2026-02-13 09:36:00,2026-02-13 09:37:00,127.75,125.83,194,-396.35,-1.6,LOSS
ATM_CALL,2026-02-13 09:38:00,2026-02-13 09:39:00,125.6,123.72,197,-395.71,-1.6,LOSS
ATM_CALL,2026-02-13 09:40:00,2026-02-13 09:49:00,121.65,119.83,204,-396.88,-1.6,LOSS
ATM_CALL,2026-02-13 09:58:00,2026-02-13 10:08:00,118.75,116.97,209,-396.91,-1.6,LOSS
ATM_CALL,2026-02-13 13:57:00,2026-02-13 13:59:00,99.45,119.34,249,4925.37,19.89,WIN
ATM_CALL,2026-02-13 15:25:00,2026-02-13 15:26:00,139.0,136.92,179,-397.91,-1.6,LOSS
ATM_CALL,2026-02-17 13:24:00,2026-02-17 13:25:00,22.1,21.77,1128,-398.67,-1.6,LOSS
ATM_CALL,2026-02-18 10:09:00,2026-02-18 10:10:00,159.5,157.11,156,-397.93,-1.6,LOSS
ATM_CALL,2026-02-19 10:47:00,2026-02-19 10:48:00,149.35,147.11,166,-396.49,-1.6,LOSS
ATM_CALL,2026-02-19 11:35:00,2026-02-19 11:36:00,128.2,126.28,194,-397.75,-1.6,LOSS
ATM_CALL,2026-02-19 11:37:00,2026-02-19 11:42:00,125.5,150.6,198,4942.47,19.89,WIN
ATM_CALL,2026-02-19 11:43:00,2026-02-19 11:45:00,123.2,147.84,203,4974.41,19.89,WIN
ATM_CALL,2026-02-19 11:48:00,2026-02-19 11:50:00,150.75,148.49,166,-400.2,-1.6,LOSS
ATM_CALL,2026-02-19 11:59:00,2026-02-19 12:01:00,149.4,147.16,168,-401.4,-1.6,LOSS
