Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2025-09-08 12:40:00,2025-09-08 12:44:00,76.1,74.96,328,-399.19,-1.6,LOSS
ATM_CALL,2025-09-08 12:45:00,2025-09-08 12:46:00,76.45,75.3,326,-398.58,-1.6,LOSS
ATM_CALL,2025-09-08 14:35:00,2025-09-08 14:36:00,51.65,50.88,483,-398.96,-1.6,LOSS
ATM_CALL,2025-09-09 12:50:00,2025-09-09 12:51:00,42.75,42.11,584,-399.27,-1.6,LOSS
ATM_CALL,2025-09-09 14:15:00,2025-09-09 14:16:00,42.0,41.37,594,-398.98,-1.6,LOSS
ATM_CALL,2025-09-09 14:30:00,2025-09-09 14:31:00,10.5,12.6,2376,4962.16,19.89,WIN
ATM_CALL,2025-09-10 09:20:00,2025-09-10 09:21:00,136.65,134.6,183,-399.92,-1.6,LOSS
ATM_CALL,2025-09-10 09:25:00,2025-09-10 09:26:00,139.5,137.41,179,-399.34,-1.6,LOSS
ATM_CALL,2025-09-10 09:30:00,2025-09-10 09:31:00,122.75,120.91,204,-400.47,-1.6,LOSS
ATM_CALL,2025-09-10 09:35:00,2025-09-10 09:36:00,127.2,125.29,196,-398.71,-1.6,LOSS
ATM_CALL,2025-09-11 09:20:00,2025-09-11 09:21:00,123.1,121.25,203,-399.64,-1.6,LOSS
ATM_CALL,2025-09-11 12:20:00,2025-09-11 12:21:00,116.7,114.95,214,-399.39,-1.6,LOSS
ATM_CALL,2025-09-11 12:25:00,2025-09-11 12:26:00,119.45,117.66,209,-399.25,-1.6,LOSS
ATM_CALL,2025-09-11 12:30:00,2025-09-11 12:31:00,122.45,120.61,204,-399.49,-1.6,LOSS
ATM_CALL,2025-09-11 12:35:00,2025-09-11 12:36:00,124.7,122.83,200,-398.85,-1.6,LOSS
ATM_CALL,2025-09-12 09:20:00,2025-09-12 09:21:00,103.2,101.65,242,-399.4,-1.6,LOSS
ATM_CALL,2025-09-12 09:25:00,2025-09-12 09:32:00,96.4,94.95,259,-399.29,-1.6,LOSS
ATM_CALL,2025-09-12 11:10:00,2025-09-12 11:11:00,90.85,89.49,274,-398.1,-1.6,LOSS
ATM_CALL,2025-09-12 11:20:00,2025-09-12 11:21:00,101.65,100.13,245,-398.28,-1.6,LOSS
ATM_CALL,2025-09-12 11:25:00,2025-09-12 11:26:00,99.5,98.01,250,-397.81,-1.6,LOSS
ATM_CALL,2025-09-12 11:30:00,2025-09-12 11:32:00,78.3,77.13,318,-398.2,-1.6,LOSS
ATM_CALL,2025-09-15 11:55:00,2025-09-15 12:07:00,60.3,59.4,413,-398.28,-1.6,LOSS
ATM_CALL,2025-09-16 09:20:00,2025-09-16 09:21:00,40.75,48.9,611,4952.26,19.89,WIN
ATM_CALL,2025-09-16 09:25:00,2025-09-16 09:26:00,47.65,46.94,525,-400.07,-1.6,LOSS
