Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-06-10 13:45:00,2024-06-10 13:47:00,170.9,168.34,146,-399.04,-1.6,LOSS
ATM_CALL,2024-06-10 14:00:00,2024-06-10 14:01:00,173.9,171.29,143,-397.7,-1.6,LOSS
ATM_CALL,2024-06-10 14:05:00,2024-06-10 14:23:00,155.0,152.68,161,-399.09,-1.6,LOSS
ATM_CALL,2024-06-11 12:55:00,2024-06-11 12:56:00,131.75,129.77,189,-398.23,-1.6,LOSS
ATM_CALL,2024-06-11 13:30:00,2024-06-11 13:32:00,136.35,134.3,183,-399.05,-1.6,LOSS
ATM_CALL,2024-06-11 13:35:00,2024-06-11 13:36:00,150.45,148.19,165,-397.0,-1.6,LOSS
ATM_CALL,2024-06-11 13:40:00,2024-06-11 13:41:00,160.2,157.8,155,-397.11,-1.6,LOSS
ATM_CALL,2024-06-11 13:45:00,2024-06-11 13:47:00,130.6,128.64,190,-396.84,-1.6,LOSS
ATM_CALL,2024-06-11 13:50:00,2024-06-11 13:51:00,128.45,154.14,194,4956.45,19.89,WIN
ATM_CALL,2024-06-13 09:20:00,2024-06-13 09:23:00,50.95,50.19,491,-400.08,-1.6,LOSS
ATM_CALL,2024-06-13 09:25:00,2024-06-13 09:28:00,48.1,57.72,520,4974.89,19.89,WIN
ATM_CALL,2024-06-13 11:55:00,2024-06-13 11:56:00,39.95,39.35,629,-401.87,-1.6,LOSS
ATM_CALL,2024-06-14 09:20:00,2024-06-14 09:21:00,137.0,134.95,183,-400.95,-1.6,LOSS
ATM_CALL,2024-06-14 10:10:00,2024-06-14 10:11:00,130.5,128.54,192,-400.71,-1.6,LOSS
ATM_CALL,2024-06-14 13:10:00,2024-06-14 13:16:00,117.0,115.25,214,-400.42,-1.6,LOSS
ATM_CALL,2024-06-14 13:20:00,2024-06-14 13:22:00,116.95,115.2,214,-400.25,-1.6,LOSS
ATM_CALL,2024-06-14 15:05:00,2024-06-14 15:07:00,107.6,129.12,233,4986.58,19.89,WIN
ATM_CALL,2024-06-18 09:20:00,2024-06-18 09:22:00,95.9,115.08,263,5016.6,19.89,WIN
ATM_CALL,2024-06-18 09:25:00,2024-06-18 09:26:00,120.95,119.14,209,-404.27,-1.6,LOSS
ATM_CALL,2024-06-18 09:35:00,2024-06-18 09:36:00,111.85,110.17,226,-404.26,-1.6,LOSS
ATM_CALL,2024-06-18 09:40:00,2024-06-18 09:41:00,108.4,106.77,233,-403.93,-1.6,LOSS
ATM_CALL,2024-06-18 09:50:00,2024-06-18 09:51:00,119.65,117.86,211,-403.75,-1.6,LOSS
ATM_CALL,2024-06-18 14:05:00,2024-06-18 14:06:00,88.95,87.62,284,-404.0,-1.6,LOSS
ATM_CALL,2024-06-18 15:05:00,2024-06-18 15:06:00,87.9,86.58,287,-403.45,-1.6,LOSS
ATM_CALL,2024-06-18 15:10:00,2024-06-18 15:12:00,85.95,84.66,294,-404.12,-1.6,LOSS
ATM_CALL,2024-06-18 15:15:00,2024-06-19 09:15:00,86.05,84.76,293,-403.21,-1.6,LOSS
ATM_CALL,2024-06-19 09:20:00,2024-06-19 09:21:00,78.15,76.98,323,-403.69,-1.6,LOSS
ATM_CALL,2024-06-19 09:25:00,2024-06-19 09:26:00,82.35,81.11,306,-403.0,-1.6,LOSS
