Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2024-02-09 14:20:00,2024-02-09 14:21:00,184.85,182.08,135,-399.09,-1.6,LOSS
ATM_CALL,2024-02-12 09:20:00,2024-02-12 09:21:00,157.7,155.33,158,-398.48,-1.6,LOSS
ATM_CALL,2024-02-12 14:15:00,2024-02-12 14:16:00,138.75,136.67,180,-399.41,-1.6,LOSS
ATM_CALL,2024-02-13 10:00:00,2024-02-13 10:01:00,142.5,140.36,175,-398.81,-1.6,LOSS
ATM_CALL,2024-02-13 10:10:00,2024-02-13 10:16:00,124.05,122.19,201,-398.76,-1.6,LOSS
ATM_CALL,2024-02-13 13:35:00,2024-02-13 13:36:00,136.0,133.96,183,-398.02,-1.6,LOSS
ATM_CALL,2024-02-14 12:30:00,2024-02-14 12:31:00,85.9,103.08,290,4954.8,19.89,WIN
ATM_CALL,2024-02-14 12:35:00,2024-02-14 12:36:00,99.05,97.56,253,-400.77,-1.6,LOSS
ATM_CALL,2024-02-14 12:40:00,2024-02-14 12:43:00,95.4,93.97,262,-399.73,-1.6,LOSS
ATM_CALL,2024-02-14 13:05:00,2024-02-14 13:06:00,91.05,89.68,275,-400.43,-1.6,LOSS
ATM_CALL,2024-02-14 14:15:00,2024-02-14 14:16:00,102.1,100.57,245,-400.04,-1.6,LOSS
ATM_CALL,2024-02-14 14:20:00,2024-02-14 14:21:00,74.75,73.63,334,-399.28,-1.6,LOSS
ATM_CALL,2024-02-14 14:25:00,2024-02-14 14:26:00,98.15,96.68,254,-398.69,-1.6,LOSS
ATM_CALL,2024-02-14 14:30:00,2024-02-14 14:32:00,88.35,106.02,283,4973.11,19.89,WIN
ATM_CALL,2024-02-14 14:35:00,2024-02-14 14:36:00,92.8,91.41,270,-400.71,-1.6,LOSS
ATM_CALL,2024-02-14 14:40:00,2024-02-14 14:41:00,97.8,96.33,256,-400.4,-1.6,LOSS
ATM_CALL,2024-02-14 14:45:00,2024-02-14 14:46:00,102.05,100.52,246,-401.48,-1.6,LOSS
ATM_CALL,2024-02-15 13:40:00,2024-02-15 13:41:00,54.75,53.93,458,-401.02,-1.6,LOSS
ATM_CALL,2024-02-15 13:45:00,2024-02-15 13:46:00,41.0,40.39,611,-400.63,-1.6,LOSS
ATM_CALL,2024-02-15 13:50:00,2024-02-15 13:51:00,39.55,38.96,634,-401.01,-1.6,LOSS
ATM_CALL,2024-02-15 14:00:00,2024-02-15 14:01:00,36.25,35.71,691,-400.59,-1.6,LOSS
ATM_CALL,2024-02-16 09:20:00,2024-02-16 09:21:00,175.65,173.02,142,-398.89,-1.6,LOSS
ATM_CALL,2024-02-16 09:25:00,2024-02-16 09:26:00,171.85,169.27,145,-398.51,-1.6,LOSS
ATM_CALL,2024-02-16 09:30:00,2024-02-16 09:32:00,176.55,173.9,141,-398.11,-1.6,LOSS
ATM_CALL,2024-02-16 12:55:00,2024-02-16 13:01:00,173.15,170.55,144,-398.75,-1.6,LOSS
ATM_CALL,2024-02-19 09:20:00,2024-02-19 09:21:00,135.75,133.71,184,-399.46,-1.6,LOSS
ATM_CALL,2024-02-19 09:25:00,2024-02-19 09:26:00,131.2,129.23,190,-398.66,-1.6,LOSS
ATM_CALL,2024-02-19 11:20:00,2024-02-19 11:21:00,146.85,144.65,170,-399.24,-1.6,LOSS
ATM_CALL,2024-02-19 14:25:00,2024-02-19 14:28:00,140.35,138.24,178,-399.53,-1.6,LOSS
ATM_CALL,2024-02-19 14:30:00,2024-02-19 14:31:00,140.15,138.05,178,-398.96,-1.6,LOSS
ATM_CALL,2024-02-20 12:05:00,2024-02-20 12:06:00,129.35,127.41,193,-399.25,-1.6,LOSS
ATM_CALL,2024-02-20 12:10:00,2024-02-20 12:11:00,137.2,135.14,181,-397.14,-1.6,LOSS
ATM_CALL,2024-02-20 15:10:00,2024-02-20 15:11:00,102.45,100.91,243,-398.14,-1.6,LOSS
ATM_CALL,2024-02-20 15:15:00,2024-02-20 15:20:00,104.4,102.83,238,-397.37,-1.6,LOSS
ATM_CALL,2024-02-21 12:55:00,2024-02-21 12:56:00,71.25,70.18,349,-397.67,-1.6,LOSS
ATM_CALL,2024-02-22 11:45:00,2024-02-22 11:46:00,45.2,44.52,551,-398.3,-1.6,LOSS
ATM_CALL,2024-02-22 12:00:00,2024-02-22 12:05:00,39.15,38.56,636,-398.2,-1.6,LOSS
ATM_CALL,2024-02-22 13:40:00,2024-02-22 13:41:00,24.3,23.94,1024,-397.94,-1.6,LOSS
ATM_CALL,2024-02-22 13:45:00,2024-02-22 13:46:00,34.9,34.38,713,-397.95,-1.6,LOSS
ATM_CALL,2024-02-22 13:50:00,2024-02-22 13:51:00,22.45,22.11,1108,-397.81,-1.6,LOSS
ATM_CALL,2024-02-22 13:55:00,2024-02-22 13:56:00,29.5,29.06,843,-397.71,-1.6,LOSS
ATM_CALL,2024-02-22 14:00:00,2024-02-22 14:01:00,26.4,26.0,941,-397.29,-1.6,LOSS
ATM_CALL,2024-02-22 14:05:00,2024-02-22 14:06:00,19.5,23.4,1274,4941.27,19.89,WIN
ATM_CALL,2024-02-22 15:05:00,2024-02-22 15:06:00,14.25,14.04,1752,-399.27,-1.6,LOSS
ATM_CALL,2024-02-26 13:10:00,2024-02-26 13:31:00,139.65,137.56,178,-397.54,-1.6,LOSS
ATM_CALL,2024-02-27 12:50:00,2024-02-27 13:08:00,113.05,111.35,220,-397.75,-1.6,LOSS
ATM_CALL,2024-02-27 15:05:00,2024-02-27 15:06:00,121.35,119.53,205,-397.84,-1.6,LOSS
ATM_CALL,2024-02-28 10:10:00,2024-02-28 10:11:00,75.2,90.24,331,4950.86,19.89,WIN
ATM_CALL,2024-02-29 10:00:00,2024-02-29 10:01:00,82.45,81.21,303,-399.53,-1.6,LOSS
ATM_CALL,2024-02-29 15:20:00,2024-02-29 15:21:00,0.3,0.3,83488,-400.55,-1.6,LOSS
ATM_CALL,2024-02-29 15:25:00,2024-02-29 15:26:00,0.2,0.2,125183,-400.4,-1.6,LOSS
ATM_CALL,2024-02-29 15:30:00,2024-03-01 09:15:00,0.05,0.06,500532,4977.79,19.89,WIN
ATM_CALL,2024-03-01 09:20:00,2024-03-01 09:25:00,196.75,193.8,127,-399.61,-1.6,LOSS
ATM_CALL,2024-03-01 11:20:00,2024-03-01 11:21:00,202.0,198.97,124,-400.58,-1.6,LOSS
ATM_CALL,2024-03-01 11:25:00,2024-03-01 11:26:00,183.65,180.9,136,-399.44,-1.6,LOSS
ATM_CALL,2024-03-01 11:30:00,2024-03-01 11:31:00,187.65,184.84,133,-399.13,-1.6,LOSS
ATM_CALL,2024-03-01 11:35:00,2024-03-01 11:37:00,188.0,185.18,133,-399.88,-1.6,LOSS
ATM_CALL,2024-03-01 11:40:00,2024-03-01 11:41:00,187.45,184.64,133,-398.71,-1.6,LOSS
ATM_CALL,2024-03-01 11:45:00,2024-03-01 12:03:00,181.95,179.22,137,-398.65,-1.6,LOSS
ATM_CALL,2024-03-01 15:00:00,2024-03-01 15:01:00,164.75,162.28,152,-400.48,-1.6,LOSS
ATM_CALL,2024-03-01 15:05:00,2024-03-01 15:06:00,165.25,162.77,151,-399.06,-1.6,LOSS
ATM_CALL,2024-03-01 15:10:00,2024-03-01 15:12:00,165.8,163.31,151,-400.39,-1.6,LOSS
ATM_CALL,2024-03-02 09:20:00,2024-03-02 09:21:00,167.0,164.5,150,-400.61,-1.6,LOSS
ATM_CALL,2024-03-02 09:25:00,2024-03-02 09:26:00,168.45,165.92,148,-398.7,-1.6,LOSS
ATM_CALL,2024-03-02 09:30:00,2024-03-02 09:50:00,148.4,146.17,168,-398.71,-1.6,LOSS
ATM_CALL,2024-03-04 09:20:00,2024-03-04 09:21:00,160.15,157.75,156,-399.55,-1.6,LOSS
ATM_CALL,2024-03-04 14:15:00,2024-03-04 14:16:00,107.65,129.18,232,4967.49,19.89,WIN
ATM_CALL,2024-03-05 11:55:00,2024-03-05 11:56:00,98.8,97.32,254,-401.33,-1.6,LOSS
ATM_CALL,2024-03-05 12:00:00,2024-03-05 12:01:00,96.15,94.71,261,-401.33,-1.6,LOSS
ATM_CALL,2024-03-05 12:05:00,2024-03-05 12:06:00,99.4,97.91,252,-400.59,-1.6,LOSS
ATM_CALL,2024-03-05 12:55:00,2024-03-05 12:56:00,91.35,89.98,274,-400.29,-1.6,LOSS
ATM_CALL,2024-03-05 13:00:00,2024-03-05 13:01:00,103.0,101.46,243,-400.28,-1.6,LOSS
ATM_CALL,2024-03-06 13:45:00,2024-03-06 13:50:00,80.2,96.24,312,4976.96,19.89,WIN
ATM_CALL,2024-03-06 13:55:00,2024-03-06 13:56:00,113.8,112.09,221,-402.21,-1.6,LOSS
ATM_CALL,2024-03-06 14:00:00,2024-03-06 14:01:00,86.45,85.15,291,-402.32,-1.6,LOSS
ATM_CALL,2024-03-06 14:05:00,2024-03-06 14:08:00,86.5,85.2,291,-402.56,-1.6,LOSS
ATM_CALL,2024-03-07 11:05:00,2024-03-07 11:06:00,42.45,41.81,593,-402.58,-1.6,LOSS
ATM_CALL,2024-03-07 13:05:00,2024-03-07 13:06:00,32.1,31.62,784,-402.47,-1.6,LOSS
ATM+1_CALL,2024-02-09 14:20:00,2024-02-09 14:21:00,157.95,155.58,158,-399.11,-1.6,LOSS
ATM+1_CALL,2024-02-12 09:20:00,2024-02-12 09:21:00,130.2,128.25,191,-397.7,-1.6,LOSS
ATM+1_CALL,2024-02-12 14:15:00,2024-02-12 14:16:00,114.5,112.78,218,-399.19,-1.6,LOSS
ATM+1_CALL,2024-02-13 10:00:00,2024-02-13 10:01:00,116.3,114.56,214,-398.02,-1.6,LOSS
ATM+1_CALL,2024-02-13 10:10:00,2024-02-13 10:16:00,100.05,98.55,249,-398.41,-1.6,LOSS
ATM+1_CALL,2024-02-13 13:35:00,2024-02-13 13:36:00,108.6,106.97,229,-397.72,-1.6,LOSS
ATM+1_CALL,2024-02-14 12:30:00,2024-02-14 12:31:00,61.2,73.44,407,4954.28,19.89,WIN
ATM+1_CALL,2024-02-14 12:35:00,2024-02-14 12:36:00,72.55,71.46,345,-400.29,-1.6,LOSS
ATM+1_CALL,2024-02-14 12:40:00,2024-02-14 12:43:00,69.7,68.65,359,-400.17,-1.6,LOSS
ATM+1_CALL,2024-02-14 13:05:00,2024-02-14 13:06:00,65.3,64.32,383,-399.97,-1.6,LOSS
ATM+1_CALL,2024-02-14 14:15:00,2024-02-14 14:16:00,73.95,72.84,338,-399.73,-1.6,LOSS
ATM+1_CALL,2024-02-14 14:20:00,2024-02-14 14:21:00,50.9,50.14,491,-399.68,-1.6,LOSS
ATM+1_CALL,2024-02-14 14:25:00,2024-02-14 14:26:00,70.0,68.95,357,-399.65,-1.6,LOSS
ATM+1_CALL,2024-02-14 14:30:00,2024-02-14 14:32:00,60.85,73.02,410,4962.26,19.89,WIN
ATM+1_CALL,2024-02-14 14:35:00,2024-02-14 14:36:00,65.3,64.32,384,-401.02,-1.6,LOSS
