Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2023-11-08 13:15:00,2023-11-08 13:21:00,41.3,49.56,605,4969.81,19.89,WIN
ATM_CALL,2023-11-08 13:25:00,2023-11-08 13:26:00,47.45,46.74,529,-401.43,-1.6,LOSS
ATM_CALL,2023-11-08 13:40:00,2023-11-08 13:41:00,47.3,46.59,530,-400.92,-1.6,LOSS
ATM_CALL,2023-11-10 12:45:00,2023-11-10 13:56:00,94.6,93.18,265,-400.92,-1.6,LOSS
ATM_CALL,2023-11-10 15:15:00,2023-11-10 15:27:00,72.95,87.54,343,4976.85,19.89,WIN
ATM_CALL,2023-11-10 15:30:00,2023-11-12 18:15:00,91.65,90.28,275,-403.07,-1.6,LOSS
ATM_CALL,2023-11-12 18:20:00,2023-11-12 19:05:00,55.0,66.0,458,5010.29,19.89,WIN
ATM_CALL,2023-11-13 13:30:00,2023-11-13 13:45:00,64.6,63.63,392,-404.98,-1.6,LOSS
ATM_CALL,2023-11-13 14:05:00,2023-11-13 14:51:00,65.75,64.76,385,-404.83,-1.6,LOSS
ATM_CALL,2023-11-15 09:20:00,2023-11-15 09:21:00,62.8,61.86,403,-404.74,-1.6,LOSS
ATM_CALL,2023-11-15 09:25:00,2023-11-15 09:29:00,59.25,58.36,427,-404.61,-1.6,LOSS
ATM_CALL,2023-11-15 09:30:00,2023-11-15 09:37:00,41.3,40.68,612,-404.22,-1.6,LOSS
ATM_CALL,2023-11-15 12:25:00,2023-11-15 12:27:00,40.05,39.45,631,-404.16,-1.6,LOSS
ATM_CALL,2023-11-15 12:30:00,2023-11-15 12:31:00,39.35,38.76,642,-404.01,-1.6,LOSS
ATM_CALL,2023-11-15 13:15:00,2023-11-15 13:22:00,50.4,60.48,501,5022.3,19.89,WIN
ATM_CALL,2023-11-15 13:25:00,2023-11-15 13:26:00,62.1,61.17,408,-405.2,-1.6,LOSS
ATM_CALL,2023-11-15 13:30:00,2023-11-15 13:31:00,68.8,67.77,368,-404.9,-1.6,LOSS
ATM_CALL,2023-11-15 13:35:00,2023-11-15 13:36:00,70.55,69.49,359,-405.05,-1.6,LOSS
ATM_CALL,2023-11-15 15:15:00,2023-11-16 09:15:00,33.2,32.7,763,-405.12,-1.6,LOSS
ATM_CALL,2023-11-16 11:05:00,2023-11-16 11:06:00,46.55,45.85,544,-404.98,-1.6,LOSS
ATM_CALL,2023-11-16 11:10:00,2023-11-16 11:11:00,28.3,33.96,895,5037.84,19.89,WIN
ATM_CALL,2023-11-16 11:15:00,2023-11-16 11:16:00,40.0,39.4,636,-406.85,-1.6,LOSS
ATM_CALL,2023-11-16 11:20:00,2023-11-16 11:21:00,36.2,35.66,703,-406.99,-1.6,LOSS
ATM_CALL,2023-11-16 12:45:00,2023-11-16 12:46:00,28.85,28.42,881,-406.48,-1.6,LOSS
ATM_CALL,2023-11-16 14:15:00,2023-11-16 14:16:00,24.9,24.53,1021,-406.58,-1.6,LOSS
ATM_CALL,2023-11-16 14:20:00,2023-11-16 14:21:00,7.2,7.09,3530,-406.47,-1.6,LOSS
ATM_CALL,2023-11-16 14:25:00,2023-11-16 14:26:00,6.1,6.01,4166,-406.41,-1.6,LOSS
ATM_CALL,2023-11-16 14:30:00,2023-11-16 14:31:00,9.8,9.65,2592,-406.24,-1.6,LOSS
ATM_CALL,2023-11-16 14:35:00,2023-11-16 14:36:00,11.7,11.52,2170,-406.03,-1.6,LOSS
ATM_CALL,2023-11-16 14:45:00,2023-11-16 14:46:00,27.35,32.82,928,5048.24,19.89,WIN
ATM_CALL,2023-11-20 10:25:00,2023-11-20 10:26:00,98.1,96.63,260,-407.9,-1.6,LOSS
ATM_CALL,2023-11-20 10:30:00,2023-11-20 10:31:00,102.1,100.57,249,-406.58,-1.6,LOSS
ATM_CALL,2023-11-20 13:10:00,2023-11-20 13:11:00,104.15,102.59,244,-406.41,-1.6,LOSS
ATM_CALL,2023-11-20 14:50:00,2023-11-20 14:51:00,106.15,104.56,240,-407.42,-1.6,LOSS
ATM_CALL,2023-11-21 09:20:00,2023-11-21 09:23:00,91.4,90.03,278,-406.36,-1.6,LOSS
ATM_CALL,2023-11-21 09:25:00,2023-11-21 09:35:00,68.85,67.82,369,-406.3,-1.6,LOSS
ATM_CALL,2023-11-21 12:15:00,2023-11-21 12:16:00,79.25,78.06,321,-406.84,-1.6,LOSS
ATM_CALL,2023-11-21 12:20:00,2023-11-21 12:25:00,91.15,109.38,279,5058.2,19.89,WIN
ATM_CALL,2023-11-21 12:30:00,2023-11-21 12:31:00,96.65,95.2,264,-408.06,-1.6,LOSS
ATM_CALL,2023-11-22 09:20:00,2023-11-22 09:21:00,64.35,63.38,397,-408.56,-1.6,LOSS
ATM_CALL,2023-11-22 09:25:00,2023-11-22 09:26:00,63.55,62.6,401,-407.55,-1.6,LOSS
ATM_CALL,2023-11-22 09:40:00,2023-11-22 09:41:00,63.9,62.94,399,-407.75,-1.6,LOSS
ATM_CALL,2023-11-22 09:55:00,2023-11-22 09:56:00,79.95,78.75,319,-407.87,-1.6,LOSS
ATM_CALL,2023-11-22 14:30:00,2023-11-22 14:31:00,43.25,51.9,589,5066.83,19.89,WIN
ATM_CALL,2023-11-22 14:35:00,2023-11-22 14:38:00,49.95,59.94,513,5096.68,19.89,WIN
ATM_CALL,2023-11-22 14:40:00,2023-11-22 14:41:00,63.0,62.06,409,-412.08,-1.6,LOSS
ATM_CALL,2023-11-22 14:45:00,2023-11-22 14:46:00,64.25,63.29,400,-411.01,-1.6,LOSS
ATM_CALL,2023-11-22 14:50:00,2023-11-22 14:52:00,64.5,63.53,399,-411.57,-1.6,LOSS
ATM_CALL,2023-11-23 09:25:00,2023-11-23 09:26:00,47.6,46.89,540,-411.07,-1.6,LOSS
ATM_CALL,2023-11-23 12:30:00,2023-11-23 12:31:00,36.35,35.8,707,-411.0,-1.6,LOSS
ATM_CALL,2023-11-24 09:30:00,2023-11-24 09:31:00,90.9,89.54,282,-409.95,-1.6,LOSS
ATM_CALL,2023-11-28 09:20:00,2023-11-28 09:21:00,74.25,73.14,346,-410.86,-1.6,LOSS
ATM_CALL,2023-11-28 09:25:00,2023-11-28 09:26:00,73.5,72.4,349,-410.23,-1.6,LOSS
