Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2021-04-08 13:25:00,2021-04-08 13:26:00,32.2,31.72,776,-399.61,-1.6,LOSS
ATM_CALL,2021-04-08 13:40:00,2021-04-08 13:41:00,14.1,13.89,1772,-399.58,-1.6,LOSS
ATM_CALL,2021-04-13 09:25:00,2021-04-13 09:26:00,124.0,122.14,201,-398.6,-1.6,LOSS
ATM_CALL,2021-04-13 12:45:00,2021-04-13 12:50:00,73.2,87.84,341,4964.78,19.89,WIN
ATM_CALL,2021-04-13 14:00:00,2021-04-13 14:01:00,79.5,95.4,315,4980.95,19.89,WIN
ATM_CALL,2021-04-13 14:10:00,2021-04-13 14:11:00,81.9,98.28,307,5001.0,19.89,WIN
ATM_CALL,2021-04-13 14:15:00,2021-04-13 14:16:00,66.8,80.16,379,5035.59,19.89,WIN
ATM_CALL,2021-04-15 13:40:00,2021-04-15 13:42:00,45.3,44.62,562,-407.15,-1.6,LOSS
ATM_CALL,2021-04-15 13:45:00,2021-04-15 13:46:00,23.5,28.2,1083,5062.1,19.89,WIN
ATM_CALL,2021-04-15 13:55:00,2021-04-15 13:56:00,26.25,25.86,974,-408.89,-1.6,LOSS
ATM_CALL,2021-04-15 14:05:00,2021-04-15 14:06:00,33.1,39.72,772,5082.53,19.89,WIN
ATM_CALL,2021-04-15 14:10:00,2021-04-15 14:11:00,39.05,38.46,658,-410.93,-1.6,LOSS
ATM_CALL,2021-04-15 14:15:00,2021-04-15 14:16:00,35.9,35.36,715,-410.5,-1.6,LOSS
ATM_CALL,2021-04-15 14:20:00,2021-04-15 14:21:00,17.1,20.52,1501,5105.19,19.89,WIN
ATM_CALL,2021-04-15 15:05:00,2021-04-15 15:06:00,12.65,12.46,2040,-412.7,-1.6,LOSS
ATM_CALL,2021-04-15 15:10:00,2021-04-15 15:11:00,1.8,1.77,14333,-412.6,-1.6,LOSS
ATM_CALL,2021-04-15 15:15:00,2021-04-15 15:16:00,1.1,1.08,23444,-412.42,-1.6,LOSS
