Strike,Entry Time,Exit Time,Entry Price,Exit Price,Quantity,PnL,Return %,Status
ATM_CALL,2021-07-09 12:50:00,2021-07-09 12:51:00,98.3,96.83,254,-399.3,-1.6,LOSS
ATM_CALL,2021-07-09 12:55:00,2021-07-09 12:56:00,99.4,97.91,251,-399.0,-1.6,LOSS
ATM_CALL,2021-07-09 14:15:00,2021-07-09 14:16:00,100.15,98.65,249,-398.81,-1.6,LOSS
ATM_CALL,2021-07-12 09:20:00,2021-07-12 09:22:00,84.0,82.74,297,-398.98,-1.6,LOSS
ATM_CALL,2021-07-12 09:25:00,2021-07-12 09:26:00,62.35,74.82,400,4960.57,19.89,WIN
ATM_CALL,2021-07-12 09:30:00,2021-07-12 09:31:00,61.55,73.86,407,4982.61,19.89,WIN
ATM_CALL,2021-07-12 09:35:00,2021-07-12 09:36:00,89.3,87.96,282,-402.73,-1.6,LOSS
ATM_CALL,2021-07-13 09:20:00,2021-07-13 09:22:00,70.85,69.79,355,-402.24,-1.6,LOSS
ATM_CALL,2021-07-13 09:25:00,2021-07-13 09:26:00,71.8,70.72,350,-401.89,-1.6,LOSS
ATM_CALL,2021-07-13 09:30:00,2021-07-13 09:31:00,69.95,68.9,359,-401.6,-1.6,LOSS
ATM_CALL,2021-07-13 11:55:00,2021-07-13 12:37:00,51.35,50.58,490,-402.4,-1.6,LOSS
ATM_CALL,2021-07-13 15:15:00,2021-07-13 15:16:00,64.2,63.24,391,-401.45,-1.6,LOSS
ATM_CALL,2021-07-13 15:20:00,2021-07-13 15:21:00,63.25,62.3,397,-401.58,-1.6,LOSS
ATM_CALL,2021-07-14 10:45:00,2021-07-14 10:47:00,59.85,58.95,420,-402.0,-1.6,LOSS
ATM_CALL,2021-07-14 10:50:00,2021-07-14 10:51:00,61.4,60.48,409,-401.61,-1.6,LOSS
ATM_CALL,2021-07-14 10:55:00,2021-07-14 10:56:00,37.2,36.64,675,-401.57,-1.6,LOSS
ATM_CALL,2021-07-14 12:45:00,2021-07-14 12:49:00,43.0,51.6,583,4986.22,19.89,WIN
ATM_CALL,2021-07-14 12:50:00,2021-07-14 12:51:00,51.2,50.43,492,-402.86,-1.6,LOSS
ATM_CALL,2021-07-14 13:05:00,2021-07-14 13:14:00,53.5,52.7,471,-402.99,-1.6,LOSS
ATM_CALL,2021-07-14 13:15:00,2021-07-14 13:16:00,59.45,58.56,424,-403.12,-1.6,LOSS
ATM_CALL,2021-07-15 09:20:00,2021-07-15 09:26:00,15.75,18.9,1600,5012.28,19.89,WIN
ATM_CALL,2021-07-15 09:30:00,2021-07-15 09:31:00,21.5,21.18,1178,-405.04,-1.6,LOSS
ATM_CALL,2021-07-15 10:55:00,2021-07-15 10:56:00,14.05,16.86,1801,5032.98,19.89,WIN
ATM_CALL,2021-07-15 11:00:00,2021-07-15 11:01:00,17.15,16.89,1483,-406.74,-1.6,LOSS
ATM_CALL,2021-07-15 11:05:00,2021-07-15 11:12:00,16.85,16.6,1509,-406.64,-1.6,LOSS
ATM_CALL,2021-07-15 13:55:00,2021-07-15 13:56:00,15.8,15.56,1609,-406.56,-1.6,LOSS
