Date,Breakout Type,Entry Time,Underlying Entry Price,OR High,OR Low,OR Width,Gap %,Inside Day,Outside Day,Relation PDH/PDL,Days To Expiry,Day Of Week,Max Continuation,Max Adverse,Sustained,Failed,ATR,ADX,RSI,VWAP Dist,ATM MFE %,ATM MAE %,ATM Peak Time,ATM Time To Peak Min,ATM Decay %,ATM Gamma Eff,ATM Expansion Quality Score,ATM Peak Exhaustion Score,ATM Expected Opportunity Score,ATM Time To 50%,ATM Time Above 50%,ATM Exit Hybrid Return %,ATM Exit Hybrid Capture Eff,ATM Exit Hybrid Retention Ratio,ATM Exit Hybrid Lost Profit,Volatility Regime,Trend Regime,Auction Archetype,Failure Reason
2025-07-28,bullish,2025-07-28 09:31:00 +0530,24803.7,24799.8008,24732.6992,67.10160000000178,0.0,false,false,inside,4,Monday,85.49919999999838,157.10039999999935,true,false,,,,,10.83,-27.56,2025-07-28 10:15:00 +0530,44,34.64,0.127,31,100,0,,0,1.33,0.1229,0.1229,13.2,normal,trending,failed_auction,none
2025-07-28,bearish,2025-07-28 12:52:00 +0530,24718.35,24799.8008,24732.6992,67.10160000000178,0.0,false,false,inside,4,Monday,71.75039999999717,28.30000000000291,true,false,,,,,17.68,-28.31,2025-07-28 14:12:00 +0530,80,39.08,0.246,30,100,0,,0,-14.74,-0.8338,0.0,34.75,normal,trending,failed_auction,none
2025-07-29,bullish,2025-07-29 09:55:00 +0530,24722.9,24712.1504,24598.5996,113.55079999999725,0.0,false,false,inside,4,Tuesday,124.25039999999717,108.60000000000218,true,false,,,,,3.63,-42.33,2025-07-29 10:47:00 +0530,52,44.35,0.029,24,100,0,,0,-13.53,-3.7283,0.0,21.75,normal,trending,opening_drive,none
2025-07-30,bearish,2025-07-30 10:29:00 +0530,24813.3,24892.0508,24813.9004,78.15040000000226,0.0,false,false,inside,4,Wednesday,41.35080000000016,89.00080000000162,false,true,,,,,31.85,-38.96,2025-07-30 10:32:00 +0530,3,53.7,0.77,39,100,0,,0,-7.41,-0.2328,0.0,25.95,normal,trending,open_auction,vwap_reclaimed
2025-07-31,bullish,2025-07-31 11:02:00 +0530,24745.4,24728.9492,24635.0,93.94919999999911,0.0,false,false,inside,4,Thursday,211.09999999999854,4.700000000000728,true,false,,,,,56.6,-99.13,2025-07-31 12:16:00 +0530,74,99.44,0.268,28,100,0,73,0,-11.01,-0.1946,0.0,31.0,normal,mean_reverting,open_auction,none
2025-08-01,bullish,2025-08-01 10:21:00 +0530,24765.85,24759.75,24679.3008,80.44919999999911,0.0,false,false,inside,4,Friday,18.30040000000008,230.79919999999765,false,true,,,,,10.66,-23.12,2025-08-01 11:18:00 +0530,57,30.52,0.582,18,100,0,,0,-13.31,-1.2486,0.0,40.7,normal,mean_reverting,open_auction,vwap_reclaimed
2025-08-01,bearish,2025-08-01 12:01:00 +0530,24656.7,24759.75,24679.3008,80.44919999999911,0.0,false,false,inside,4,Friday,121.64919999999984,41.0,true,false,,,,,18.09,-16.49,2025-08-01 13:25:00 +0530,84,29.28,0.149,33,100,0,,0,-0.9,-0.0498,0.0,27.4,normal,mean_reverting,open_auction,none
2025-08-04,bearish,2025-08-04 09:49:00 +0530,24563.95,24666.4004,24562.8496,103.55079999999725,0.0,false,false,inside,4,Monday,0.10000000000218279,172.29999999999927,false,true,,,,,23.89,-21.01,2025-08-04 10:04:00 +0530,15,33.75,238.931,43,100,0,,0,5.68,0.2378,0.2378,21.8,normal,trending,open_auction,vwap_reclaimed
2025-08-04,bullish,2025-08-04 12:01:00 +0530,24675.0,24666.4004,24562.8496,103.55079999999725,0.0,false,false,inside,4,Monday,61.25,30.900000000001455,true,false,,,,,3.31,-27.69,2025-08-04 13:27:00 +0530,86,30.0,0.054,31,100,0,,0,-17.18,-5.1979,0.0,29.75,normal,trending,open_auction,none
2025-08-05,bearish,2025-08-05 09:37:00 +0530,24655.55,24733.0996,24664.1992,68.90040000000226,0.0,false,false,inside,4,Tuesday,65.24919999999838,15.600000000002183,true,false,,,,,12.52,-32.59,2025-08-05 10:09:00 +0530,32,40.09,0.192,30,100,0,,0,-11.61,-0.927,0.0,26.4,normal,trending,open_test_drive,none
2025-08-06,bearish,2025-08-06 09:37:00 +0530,24631.7,24671.4004,24634.3496,37.05079999999725,0.0,false,false,inside,4,Wednesday,92.50080000000162,17.75,true,false,,,,,33.45,-31.73,2025-08-06 09:52:00 +0530,15,48.84,0.362,38,100,3,,0,-0.21,-0.0062,0.0,24.45,normal,mean_reverting,open_rejection_reverse,none
2025-08-07,bearish,2025-08-07 10:29:00 +0530,24456.95,24533.75,24460.0508,73.69919999999911,0.0,false,false,inside,4,Thursday,112.7996000000021,177.24919999999838,true,false,,,,,81.91,-90.74,2025-08-07 10:55:00 +0530,26,94.91,0.726,48,100,0,1,22,34.47,0.4209,0.4209,16.65,normal,mean_reverting,open_auction,none
